ILCE,alan_metrekare,Nufus,Minibus_Durak_Sayisi,Rayli_Istasyon_Sayisi,Taksi_Durak_Sayisi,Ortalama_AQI,Yeni_Yapilacak_Yesil_Alan_GA_W1_1.0_W2_0.0,Toplam_Yesil_Alan_GA_W1_1.0_W2_0.0,Yeni_Yapilacak_Yesil_Alan_PSO_W1_1.0_W2_0.0,Toplam_Yesil_Alan_PSO_W1_1.0_W2_0.0,Yeni_Yapilacak_Yesil_Alan_GA_W1_0.9_W2_0.1,Toplam_Yesil_Alan_GA_W1_0.9_W2_0.1,Yeni_Yapilacak_Yesil_Alan_PSO_W1_0.9_W2_0.1,Toplam_Yesil_Alan_PSO_W1_0.9_W2_0.1,Yeni_Yapilacak_Yesil_Alan_GA_W1_0.8_W2_0.2,Toplam_Yesil_Alan_GA_W1_0.8_W2_0.2,Yeni_Yapilacak_Yesil_Alan_PSO_W1_0.8_W2_0.2,Toplam_Yesil_Alan_PSO_W1_0.8_W2_0.2,Yeni_Yapilacak_Yesil_Alan_GA_W1_0.7_W2_0.3,Toplam_Yesil_Alan_GA_W1_0.7_W2_0.3,Yeni_Yapilacak_Yesil_Alan_PSO_W1_0.7_W2_0.3,Toplam_Yesil_Alan_PSO_W1_0.7_W2_0.3,Yeni_Yapilacak_Yesil_Alan_GA_W1_0.6_W2_0.4,Toplam_Yesil_Alan_GA_W1_0.6_W2_0.4,Yeni_Yapilacak_Yesil_Alan_PSO_W1_0.6_W2_0.4,Toplam_Yesil_Alan_PSO_W1_0.6_W2_0.4,Yeni_Yapilacak_Yesil_Alan_GA_W1_0.5_W2_0.5,Toplam_Yesil_Alan_GA_W1_0.5_W2_0.5,Yeni_Yapilacak_Yesil_Alan_PSO_W1_0.5_W2_0.5,Toplam_Yesil_Alan_PSO_W1_0.5_W2_0.5,Yeni_Yapilacak_Yesil_Alan_GA_W1_0.4_W2_0.6,Toplam_Yesil_Alan_GA_W1_0.4_W2_0.6,Yeni_Yapilacak_Yesil_Alan_PSO_W1_0.4_W2_0.6,Toplam_Yesil_Alan_PSO_W1_0.4_W2_0.6,Yeni_Yapilacak_Yesil_Alan_GA_W1_0.3_W2_0.7,Toplam_Yesil_Alan_GA_W1_0.3_W2_0.7,Yeni_Yapilacak_Yesil_Alan_PSO_W1_0.3_W2_0.7,Toplam_Yesil_Alan_PSO_W1_0.3_W2_0.7,Yeni_Yapilacak_Yesil_Alan_GA_W1_0.2_W2_0.8,Toplam_Yesil_Alan_GA_W1_0.2_W2_0.8,Yeni_Yapilacak_Yesil_Alan_PSO_W1_0.2_W2_0.8,Toplam_Yesil_Alan_PSO_W1_0.2_W2_0.8,Yeni_Yapilacak_Yesil_Alan_GA_W1_0.1_W2_0.9,Toplam_Yesil_Alan_GA_W1_0.1_W2_0.9,Yeni_Yapilacak_Yesil_Alan_PSO_W1_0.1_W2_0.9,Toplam_Yesil_Alan_PSO_W1_0.1_W2_0.9,Yeni_Yapilacak_Yesil_Alan_GA_W1_0.0_W2_1.0,Toplam_Yesil_Alan_GA_W1_0.0_W2_1.0,Yeni_Yapilacak_Yesil_Alan_PSO_W1_0.0_W2_1.0,Toplam_Yesil_Alan_PSO_W1_0.0_W2_1.0
ADALAR,51158.82954963867,16979.0,0,0,0,21.8728,2045.0670537425344,53203.8966033812,25579.414774819335,76738.244324458,6986.01389892661,58144.84344856528,0.0,51158.82954963867,8330.734915391944,59489.56446503061,0.0,51158.82954963867,4324.961613426806,55483.79116306548,25579.414774819335,76738.244324458,11160.08254477537,62318.912094414045,0.0,51158.82954963867,4488.943467258895,55647.77301689757,0.0,51158.82954963867,5560.718553310106,56719.54810294878,0.0,51158.82954963867,8774.169287894414,59932.99883753309,0.0,51158.82954963867,3131.478157243968,54290.30770688264,0.0,51158.82954963867,7669.022980460091,58827.85253009876,0.0,51158.82954963867,3506.771005220381,54665.600554859055,25579.414774819335,76738.244324458
ARNAVUTKÖY,64545.19212578033,344868.0,204,5,2,29.73571591167767,32267.96612280853,96813.15824858886,32272.596062890167,96817.7881886705,32078.988994410975,96624.18112019131,0.0,64545.19212578033,32142.099027957363,96687.2911537377,32272.596062890167,96817.7881886705,32221.23598348259,96766.42810926292,32272.596062890167,96817.7881886705,32197.508540010283,96742.70066579062,32272.596062890167,96817.7881886705,32272.271791448853,96817.46391722918,32272.596062890167,96817.7881886705,32268.402229343243,96813.59435512358,32272.596062890167,96817.7881886705,32272.392175661913,96817.58430144224,0.0,64545.19212578033,32272.45150305127,96817.6436288316,32272.596062890167,96817.7881886705,32055.670768275202,96600.86289405554,0.0,64545.19212578033,32272.54077086233,96817.73289664267,32272.596062890167,96817.7881886705
ATAŞEHİR,652554.3498556783,414866.0,293,8,29,29.7875014280818,32763.685798240895,685318.0356539192,0.0,652554.3498556783,131894.9775940553,784449.3274497336,326277.17492783914,978831.5247835175,188487.3514038015,841041.7012594797,326277.17492783914,978831.5247835175,89509.09987721281,742063.449732891,325091.6204678138,977645.9703234921,83104.17536435867,735658.525220037,0.0,652554.3498556783,176781.1098619755,829335.4597176538,326277.17492783914,978831.5247835175,81209.23704293811,733763.5868986164,0.0,652554.3498556783,189842.0890845853,842396.4389402636,0.0,652554.3498556783,180133.4656518468,832687.8155075251,326277.17492783914,978831.5247835175,137727.26093279241,790281.6107884707,326277.17492783914,978831.5247835175,166927.994772787,819482.3446284652,0.0,652554.3498556783
AVCILAR,758438.617676303,440934.0,153,2,12,29.202595037559753,24598.18220394753,783036.7998802506,304431.4736053224,1062870.0912816254,105141.87967033654,863580.4973466395,379219.3088381515,1137657.9265144547,28227.920150629638,786666.5378269326,379219.3088381515,1137657.9265144547,26677.81559407446,785116.4332703775,0.0,758438.617676303,165245.22582345398,923683.843499757,231545.59343289334,989984.2111091963,47772.08052941181,806210.6982057148,379219.3088381515,1137657.9265144547,54604.397272641305,813043.0149489443,0.0,758438.617676303,77082.54903655876,835521.1667128617,0.0,758438.617676303,123065.84320497174,881504.4608812748,209984.71568656113,968423.3333628641,218361.28410999547,976799.9017862985,0.0,758438.617676303,142148.0480439371,900586.6657202401,0.0,758438.617676303
BAHÇELİEVLER,172658.04112394387,560086.0,240,9,14,36.609391184255955,86321.68463296568,258979.72575690955,86329.02056197193,258987.0616859158,85940.80269272313,258598.84381666698,86329.02056197193,258987.0616859158,86074.52518542885,258732.56630937272,86329.02056197193,258987.0616859158,85101.73235116768,257759.77347511155,86329.02056197193,258987.0616859158,85284.90541545636,257942.94653940023,86329.02056197193,258987.0616859158,86057.13424466806,258715.17536861193,0.0,172658.04112394387,86294.31402156092,258952.3551455048,0.0,172658.04112394387,86312.73164096105,258970.77276490492,86328.99570407294,258987.0368280168,86328.5052923617,258986.5464163056,86329.02056197193,258987.0616859158,86280.6636407739,258938.70476471778,0.0,172658.04112394387,85412.08708995908,258070.12821390294,0.0,172658.04112394387
BAKIRKÖY,2698483.5680299588,219893.0,191,19,28,36.609391184255955,497.21790431272865,2698980.7859342713,0.0,2698483.5680299588,24.445372364260898,2698508.0134023232,0.0,2698483.5680299588,2764.2919884780517,2701247.860018437,0.0,2698483.5680299588,5.926503237486884,2698489.494533196,0.0,2698483.5680299588,1152.72916615646,2699636.2971961154,0.0,2698483.5680299588,182.60671141871973,2698666.1747413776,0.0,2698483.5680299588,13033.563930385095,2711517.131960344,0.0,2698483.5680299588,30.746925625201577,2698514.314955584,0.0,2698483.5680299588,2118.0223057981384,2700601.590335757,0.0,2698483.5680299588,63.4978169771957,2698547.065846936,0.0,2698483.5680299588,5706.622915149808,2704190.1909451084,0.0,2698483.5680299588
BAYRAMPAŞA,741978.3363974248,268303.0,132,4,8,31.290963030579643,205905.90363379495,947884.2400312198,370989.1681987124,1112967.5045961372,131506.1623682384,873484.4987656632,0.0,741978.3363974248,129139.67094193524,871118.0073393601,370989.1681987124,1112967.5045961372,116094.15217320053,858072.4885706253,0.0,741978.3363974248,218721.97956068142,960700.3159581062,0.0,741978.3363974248,17725.105602916243,759703.442000341,0.0,741978.3363974248,118040.124070475,860018.4604678998,0.0,741978.3363974248,83194.74087393533,825173.0772713601,0.0,741978.3363974248,43274.80309290691,785253.1394903318,0.0,741978.3363974248,142822.2241861075,884800.5605835323,0.0,741978.3363974248,783.503774152699,742761.8401715775,0.0,741978.3363974248
BAĞCILAR,755789.6782663013,713594.0,319,17,15,38.659685863874344,152498.14405300218,908287.8223193034,377894.83913315064,1133684.517399452,364764.105793318,1120553.7840596193,377894.83913315064,1133684.517399452,250080.423982731,1005870.1022490324,377894.83913315064,1133684.517399452,245512.5207434752,1001302.1990097765,377894.83913315064,1133684.517399452,143276.02401681742,899065.7022831187,377894.83913315064,1133684.517399452,250565.8326521273,1006355.5109184287,377894.83913315064,1133684.517399452,246553.21524570577,1002342.8935120071,377894.83913315064,1133684.517399452,190923.31499161955,946712.9932579208,377894.7303207063,1133684.4085870076,199303.40199009058,955093.0802563919,377894.83913315064,1133684.517399452,273026.06620828004,1028815.7444745813,0.0,755789.6782663013,338996.0249153195,1094785.7031816207,377894.83913315064,1133684.517399452
BAŞAKŞEHİR,1976024.6654511543,520467.0,296,17,7,48.57816540477577,4410.004780421292,1980434.6702315756,0.0,1976024.6654511543,127.31909387414052,1976151.9845450285,0.0,1976024.6654511543,4521.445617550728,1980546.111068705,0.0,1976024.6654511543,34787.615589545254,2010812.2810406997,0.0,1976024.6654511543,62338.4979483805,2038363.1633995348,0.0,1976024.6654511543,11356.854148656917,1987381.5195998112,0.0,1976024.6654511543,3046.336499289858,1979071.0019504442,0.0,1976024.6654511543,9817.62858994049,1985842.2940410948,0.0,1976024.6654511543,5102.839273453368,1981127.5047246078,0.0,1976024.6654511543,65961.43930645518,2041986.1047576095,0.0,1976024.6654511543,22964.34942958152,1998989.014880736,0.0,1976024.6654511543
BEYKOZ,1651523.724152116,245440.0,260,0,8,26.711909353905497,469.0715039061509,1651992.7956560222,0.0,1651523.724152116,13912.278198314027,1665436.0023504302,0.0,1651523.724152116,44671.071206131805,1696194.7953582478,0.0,1651523.724152116,198.5723357321845,1651722.2964878483,0.0,1651523.724152116,8157.6176197575305,1659681.3417718736,0.0,1651523.724152116,3097.037460322648,1654620.7616124388,0.0,1651523.724152116,0.9898637788572333,1651524.714015895,0.0,1651523.724152116,4103.047241244693,1655626.7713933608,0.0,1651523.724152116,5375.892609660258,1656899.6167617764,0.0,1651523.724152116,13480.27380602633,1665003.9979581425,0.0,1651523.724152116,10763.06442153158,1662286.7885736476,0.0,1651523.724152116
