ILCE,alan_metrekare,Nufus,Minibus_Durak_Sayisi,Rayli_Istasyon_Sayisi,Taksi_Durak_Sayisi,Ortalama_AQI,Yeni_Yapilacak_Yesil_Alan_GA_W1_0.5_W2_0.5,Toplam_Yesil_Alan_GA_W1_0.5_W2_0.5,Yeni_Yapilacak_Yesil_Alan_PSO_W1_0.5_W2_0.5,Toplam_Yesil_Alan_PSO_W1_0.5_W2_0.5
ADALAR,51158.82954963867,16979.0,0,0,0,21.8728,3241.4871884518097,54400.31673809048,25579.414774819335,76738.244324458
ARNAVUTKÖY,64545.19212578033,344868.0,204,5,2,29.73571591167767,32268.588746986967,96813.7808727673,32272.596062890167,96817.7881886705
ATAŞEHİR,652554.3498556783,414866.0,293,8,29,29.7875014280818,79493.3419850711,732047.6918407494,326277.17492783914,978831.5247835175
AVCILAR,758438.617676303,440934.0,153,2,12,29.202595037559753,73838.87865445415,832277.4963307572,61209.79947752554,819648.4171538285
BAHÇELİEVLER,172658.04112394387,560086.0,240,9,14,36.609391184255955,86326.85041991228,258984.89154385615,86329.02056197193,258987.0616859158
BAKIRKÖY,2698483.5680299588,219893.0,191,19,28,36.609391184255955,573.651205680772,2699057.2192356396,0.0,2698483.5680299588
BAYRAMPAŞA,741978.3363974248,268303.0,132,4,8,31.290963030579643,93288.36179567562,835266.6981931004,370989.1681987124,1112967.5045961372
BAĞCILAR,755789.6782663013,713594.0,319,17,15,38.659685863874344,173903.54850709112,929693.2267733924,377894.83913315064,1133684.517399452
BAŞAKŞEHİR,1976024.6654511543,520467.0,296,17,7,48.57816540477577,5337.4413165976675,1981362.106767752,0.0,1976024.6654511543
BEYKOZ,1651523.724152116,245440.0,260,0,8,26.711909353905497,461.64309727969055,1651985.3672493957,0.0,1651523.724152116
BEYLİKDÜZÜ,856528.9033921233,415290.0,233,0,7,39.4643751422718,108641.02258447501,965169.9259765983,0.0,856528.9033921233
BEYOĞLU,508454.11097757774,216688.0,75,11,21,28.04237867395762,3595.262984777347,512049.3739623551,0.0,508454.11097757774
BEŞİKTAŞ,1158348.9200150063,167264.0,31,8,54,28.04237867395762,152.6195420499627,1158501.5395570563,0.0,1158348.9200150063
BÜYÜKÇEKMECE,2569637.880803156,280528.0,273,0,16,39.4643751422718,43.2802485989416,2569681.1610517553,0.0,2569637.880803156
ESENLER,375489.4256326568,423625.0,138,10,5,31.290963030579643,129107.75816792887,504597.1838005857,0.0,375489.4256326568
ESENYURT,1190145.785879942,988369.0,277,3,12,39.4643751422718,345565.46739390824,1535711.25327385,595072.892939971,1785218.678819913
EYÜPSULTAN,7189930.516470695,420706.0,300,25,16,37.04040519007512,2286.6696623358303,7192217.186133031,0.0,7189930.516470695
FATİH,1857859.9336286236,354472.0,14,27,32,38.212086659064994,490.14693035187133,1858350.0805589755,0.0,1857859.9336286236
GAZİOSMANPAŞA,204094.60721775488,479931.0,180,8,7,37.04040519007512,101679.5136030612,305774.1208208161,102047.30360887744,306141.9108266323
GÜNGÖREN,29380.789241699124,264831.0,144,6,7,36.609391184255955,14690.38851341436,44071.17775511349,14690.394620849562,44071.183862548685
KADIKÖY,860383.2664371255,462189.0,175,27,62,28.971953027020863,41164.18166703762,901547.4481041632,128872.3635195277,989255.6299566532
KARTAL,1406194.225819459,475859.0,266,9,29,36.235408116735066,56978.62377643878,1463172.8495958978,0.0,1406194.225819459
KAĞITHANE,1598947.6567764024,444820.0,182,5,16,46.7515393386545,3302.682611320344,1602250.3393877228,0.0,1598947.6567764024
KÜÇÜKÇEKMECE,1646774.3243354743,789033.0,312,18,14,65.46188902814174,122259.36524061768,1769033.689576092,0.0,1646774.3243354743
MALTEPE,2130674.198635165,524921.0,228,10,12,36.235408116735066,32964.786443090605,2163638.9850782556,0.0,2130674.198635165
